Participant,CollectionSite,Address,City,State,Zip,MapURL
ALBANY COUNTY SHERIFF,ALBANY COUNTY SHERIFF PATROL STATION,58 VERDA AVENUE,CLARKSVILLE,NY,12041,"http://maps.google.com/maps?q=58 VERDA AVENUE,+CLARKSVILLE,+NY+12041&hl=en"
ALBANY COUNTY SHERIFF,RCS COMMUNITY LIBRARY,95 MAIN STREET,RAVENA,NY,12143,"http://maps.google.com/maps?q=95 MAIN STREET,+RAVENA,+NY+12143&hl=en"
ALBANY NY POLICE DEPARTMENT,ALBANY COLLEGE OF PHARMACY CAR PORT (DRIVE UP DROP OFF),106 NEW SCOTLAND AVE.,ALBANY,NY,12208,"http://maps.google.com/maps?q=106 NEW SCOTLAND AVE.,+ALBANY,+NY+12208&hl=en"
ALBANY NY POLICE DEPARTMENT,ALBANY POLICE DEPT. SOUTH STATION,126 ARCH STREET,ALBANY,NY,12202,"http://maps.google.com/maps?q=126 ARCH STREET,+ALBANY,+NY+12202&hl=en"
ALBANY NY POLICE DEPARTMENT,CVS PHARMACY,885 CENTRAL AVE.,ALBANY,NY,12205,"http://maps.google.com/maps?q=885 CENTRAL AVE.,+ALBANY,+NY+12205&hl=en"
ALEXANDRIA POLICE DEPARTMENT,ALEXANDRIA TRANSFER STATION,29 SMITH RIVER RD,BRISTOL,NH,03222,"http://maps.google.com/maps?q=29 SMITH RIVER RD,+BRISTOL,+NH+03222&hl=en"
ALLENSTOWN POLICE DEPARTMENT,ALLENSTOWN POLICE DEPARTMENT DET. SGT. DAWN SHEA,40 ALLENSTOWN ROAD,ALLENSTOWN,NH,03275,"http://maps.google.com/maps?q=40 ALLENSTOWN ROAD,+ALLENSTOWN,+NH+03275&hl=en"
ALSTEAD POLICE DEPARTMENT,ALSTEAD POLICE DEPARTMENT,15 MECHANIC ST,ALSTEAD,NH,03602,"http://maps.google.com/maps?q=15 MECHANIC ST,+ALSTEAD,+NH+03602&hl=en"
AMHERST POLICE DEPARTMENT,WILDWOOD SCHOOL PARKING AREA,71 STRONG STREET,AMHERST,MA,01002,"http://maps.google.com/maps?q=71 STRONG STREET,+AMHERST,+MA+01002&hl=en"
ANDOVER POLICE DEPARTMENT,CIRCLE K,718 MAIN ST,ANDOVER,NH,03216,"http://maps.google.com/maps?q=718 MAIN ST,+ANDOVER,+NH+03216&hl=en"
ANDROSCOGGIN SHERIFF'S DEPARTMENT,POLAND TOWN OFFICE COMPLEX,1231 MAINE ST,POLAND,ME,04274,"http://maps.google.com/maps?q=1231 MAINE ST,+POLAND,+ME+04274&hl=en"
ANDROSCOGGIN SHERIFF'S DEPARTMENT,TURNER FIRE & RESCUE STATION,19 GENERAL TURNER HILL ROAD,TURNER,ME,04282,"http://maps.google.com/maps?q=19 GENERAL TURNER HILL ROAD,+TURNER,+ME+04282&hl=en"
ASHLAND POLICE DEPARTMENT,ASHLAND POLICE DEPT.,20 HIGHLAND ST.,ASHLAND,NH,03217,"http://maps.google.com/maps?q=20 HIGHLAND ST.,+ASHLAND,+NH+03217&hl=en"
AUBURN POLICE DEPARTMENT,AUBURN POLICE DEPARTMENT COLLECTION BOX IN LOBBY,60 COURT STREET,AUBURN,ME,04210,"http://maps.google.com/maps?q=60 COURT STREET,+AUBURN,+ME+04210&hl=en"
AUBURN POLICE DEPARTMENT,BEDARD PHARMACY FRONT PARKING LOT,359 MINOT AVE,AUBURN,ME,04210,"http://maps.google.com/maps?q=359 MINOT AVE,+AUBURN,+ME+04210&hl=en"
BARNSTEAD POLICE DEPARTMENT,BARNSTEAD POLICE DEPARTMENT,119 SOUTH BARNSTEAD ROAD,CENTER BARNSTEAD,NH,03225,"http://maps.google.com/maps?q=119 SOUTH BARNSTEAD ROAD,+CENTER BARNSTEAD,+NH+03225&hl=en"
BARTLETT POLICE DEPARTMENT,BARTLETT POLICE DEPARTMENT BARTLETT TOWN HALL LOBBY,56 TOWN HALL ROAD,INTERVALE,NH,03845,"http://maps.google.com/maps?q=56 TOWN HALL ROAD,+INTERVALE,+NH+03845&hl=en"
BELCHERTOWN POLICE DEPARTMENT,BELCHERTOWN POLICE DEPARTMENT,PARK STREETTOWN COMMON,BELCHERTOWN,MA,01007,"http://maps.google.com/maps?q=PARK STREET,+BELCHERTOWN,+MA+01007&hl=en"
BELLINGHAM POLICE DEPARTMENT,BELLINGHAM POLICE DEPARTMENT,30 BLACKSTONE STREET,BELLINGHAM,MA,02019,"http://maps.google.com/maps?q=30 BLACKSTONE STREET,+BELLINGHAM,+MA+02019&hl=en"
BELMONT POLICE DEPARTMENT,BELMONT NH POLICE DEPARTMENT,16 FULLER STREET,BELMONT,NH,03220,"http://maps.google.com/maps?q=16 FULLER STREET,+BELMONT,+NH+03220&hl=en"
BENNINGTON POLICE DEPARTMENT,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,811 US ROUTE 7 SOUTH,BENNINGTON,VT,05201,"http://maps.google.com/maps?q=811 US ROUTE 7 SOUTH,+BENNINGTON,+VT+05201&hl=en"
BENNINGTON POLICE DEPARTMENT,BENNINGTON POLICE DEPARTMENT FRONT LOBBY,118 SOUTH STREET,BENNINGTON,VT,05201,"http://maps.google.com/maps?q=118 SOUTH STREET,+BENNINGTON,+VT+05201&hl=en"
BENNINGTON POLICE DEPARTMENT,MANCHESTER POLICE DEPARTMENT FRONT LOBBY,6041 MAIN STREET,MANCHESTER CENTER,VT,05255,"http://maps.google.com/maps?q=6041 MAIN STREET,+MANCHESTER CENTER,+VT+05255&hl=en"
BENNINGTON POLICE DEPARTMENT,SOUTHWESTERN VERMONT MEDICAL CENTER FRONT LOBBY,100 HOSPITAL DRIVE,BENNINGTON,VT,05201,"http://maps.google.com/maps?q=100 HOSPITAL DRIVE,+BENNINGTON,+VT+05201&hl=en"
BENNINGTON POLICE DEPARTMENT,WINHALL POLICE DEPARTMENT FRONT LOBBY,113 VT ROUTE 30,BONDVILLE,VT,05340,"http://maps.google.com/maps?q=113 VT ROUTE 30,+BONDVILLE,+VT+05340&hl=en"
BERLIN POLICE DEPARTMENT,BERLIN POLICE DEPARTMENT,135 GREEN ST,BERLIN,NH,03570,"http://maps.google.com/maps?q=135 GREEN ST,+BERLIN,+NH+03570&hl=en"
BERLIN POLICE DEPARTMENT,BERLIN POLICE DEPARTMENT,240 KENSINGTON ROAD,BERLIN,CT,06037,"http://maps.google.com/maps?q=240 KENSINGTON ROAD,+BERLIN,+CT+06037&hl=en"
BETHANY POLICE DEPARTMENT,TROOP I RESIDENT TROOPERS OFFICE,631 AMITY ROAD,NEW HAVEN,CT,06525,"http://maps.google.com/maps?q=631 AMITY ROAD,+NEW HAVEN,+CT+06525&hl=en"
BETHLEHEM POLICE DEPARTMENT,BETHLEHEM POLICCE DEPARTMENT,2155 MAIN ST,BETHLEHEM,NH,03574,"http://maps.google.com/maps?q=2155 MAIN ST,+BETHLEHEM,+NH+03574&hl=en"
BETHLEHEM POLICE DEPARTMENT,ELM AVENUE PARK FRONT PARKING LOT,249 ELM AVENUE,DELMAR,NY,12054,"http://maps.google.com/maps?q=249 ELM AVENUE,+DELMAR,+NY+12054&hl=en"
BLACKSTONE POLICE DEPARTMENT,BLACKSTONE POLICE DEPARTMENT LT. GREGORY GILMORE,15 ST. PAUL STREET,BLACKSTONE,MA,01504,"http://maps.google.com/maps?q=15 ST. PAUL STREET,+BLACKSTONE,+MA+01504&hl=en"
BOSCAWEN POLICE DEPARTMENT,BOSCAWEN POLICE DEPARTMENT LT. JASON KILLARY,116 NORTH MAIN STREET,BOSCAWEN,NH,03303,"http://maps.google.com/maps?q=116 NORTH MAIN STREET,+BOSCAWEN,+NH+03303&hl=en"
BOW POLICE DEPARTMENT,BOW SAFETY CENTER,7 KNOX RD,BOW,NH,03304,"http://maps.google.com/maps?q=7 KNOX RD,+BOW,+NH+03304&hl=en"
BRADFORD POLICE DEPARTMENT,BRADFORD POLICE DEPARTMENT,2217 STATE ROUTE 114,BRADFORD,NH,03221,"http://maps.google.com/maps?q=2217 STATE ROUTE 114,+BRADFORD,+NH+03221&hl=en"
BRANFORD POLICE DEPARTMENT,BRANFORD POLICE DEPARTMENT,33 LAUREL STREET,BRANFORD,CT,06405,"http://maps.google.com/maps?q=33 LAUREL STREET,+BRANFORD,+CT+06405&hl=en"
BRIDGTON POLICE DEPARTMENT,BRIDGTON COMMUNITY CENTER,15 DEPOT STREET,BRIDGTON,ME,04009,"http://maps.google.com/maps?q=15 DEPOT STREET,+BRIDGTON,+ME+04009&hl=en"
BRISTOL POLICE DEPARTMENT,BRISTOL POLICE DEPARTMENT,72 MUNSILL AVENUE,BRISTOL,VT,05443,"http://maps.google.com/maps?q=72 MUNSILL AVENUE,+BRISTOL,+VT+05443&hl=en"
BRISTOL POLICE DEPARTMENT,BRISTOL SENIOR COMMUNITY CENTER HOURS OF COLLECTION 10:00 A.M- 1:00 P.M,240 STAFFORD AVENUE,BRISTOL,CT,06010,"http://maps.google.com/maps?q=240 STAFFORD AVENUE,+BRISTOL,+CT+06010&hl=en"
BURLINGTON POLICE DEPARTMENT,BURLINGTON POLICE DEPARTMENT NORTH LOBBY,1 NORTH AVE,BURLINGTON,VT,05401,"http://maps.google.com/maps?q=1 NORTH AVE,+BURLINGTON,+VT+05401&hl=en"
BURRILLVILLE POLICE DEPARTMENT,BURRILLVILLE POLICE DEPARTMENT,1477 VICTORY HIGHWAY,HARRISVILLE,RI,02830,"http://maps.google.com/maps?q=1477 VICTORY HIGHWAY,+HARRISVILLE,+RI+02830&hl=en"
CAIRO POLICE DEPARTMENT,HANNAFORD,223 MAIN STREET,CAIRO,NY,12413,"http://maps.google.com/maps?q=223 MAIN STREET,+CAIRO,+NY+12413&hl=en"
CALEDONIA COUNTY SHERIFF DEPT.,CALEDONIA COUNTY SHERIFF DEPT. DEAN SHATNEY,970 MEMORIAL DRIVE,SAINT JOHNSBURY,VT,05819,"http://maps.google.com/maps?q=970 MEMORIAL DRIVE,+SAINT JOHNSBURY,+VT+05819&hl=en"
CAMPTON POLICE DEPARTMENT,CAMPTON POLICE DEPARTMENT SGT. FOSS,12 GEARTY WAY,CAMPTON,NH,03223,"http://maps.google.com/maps?q=12 GEARTY WAY,+CAMPTON,+NH+03223&hl=en"
CANAAN POLICE DEPARTMENT,CANAAN POLICE DEPARTMENT 10 AM -2 PM,52 ROUTE 118,CANAAN,NH,03741,"http://maps.google.com/maps?q=52 ROUTE 118,+CANAAN,+NH+03741&hl=en"
CANTERBURY POLICE DEPARTMENT,CANTERBURY POLICE DEPARTMENT CANTERBURY NH TOM BIBEAU,26 BAPTIST RD,CANTERBURY,NH,03224,"http://maps.google.com/maps?q=26 BAPTIST RD,+CANTERBURY,+NH+03224&hl=en"
CARROLL COUNTY SHERIFF'S OFFICE,CARROLL COUNTY ADMINISTRATION BUILDING LOBBY BOX OR PARKING LOT ON 10/27/18 FROM 10 AM - 2 PM,95 WATER VILLAGE ROAD,OSSIPEE,NH,03864,"http://maps.google.com/maps?q=95 WATER VILLAGE ROAD,+OSSIPEE,+NH+03864&hl=en"
CASTLETON POLICE DEPARTMENT,CASTLETON POLICE DEPARTMENT,263 VT ROUTE 30,CASTLETON,VT,05735,"http://maps.google.com/maps?q=263 VT ROUTE 30,+CASTLETON,+VT+05735&hl=en"
CENTRAL FALLS POLICE DEPARTMENT,CENTRAL FALLS POLICE DEPARTMENT LT. CHRISTOPHER REED,160 ILLINOIS STREET,CENTRAL FALLS,RI,02863,"http://maps.google.com/maps?q=160 ILLINOIS STREET,+CENTRAL FALLS,+RI+02863&hl=en"
CHARLESTOWN POLICE DEPARTMENT,CHARLESTOWN,4901 OLD POST ROAD,CHARLESTOWN,RI,02813,"http://maps.google.com/maps?q=4901 OLD POST ROAD,+CHARLESTOWN,+RI+02813&hl=en"
CHATHAM POLICE DEPARTMENT,CHATHAM PD,77 MAIN STREET,CHATHAM,NY,12037,"http://maps.google.com/maps?q=77 MAIN STREET,+CHATHAM,+NY+12037&hl=en"
CHESHIRE POLICE DEPARTMENT,CHESHIRE POLICE DEPARTMENT,500 HIGHLAND AVE,CHESHIRE,CT,06410,"http://maps.google.com/maps?q=500 HIGHLAND AVE,+CHESHIRE,+CT+06410&hl=en"
CHESTERFIELD POLICE DEPARTMENT,CHESTERFIELD POLICE DEPARTMENT CHIEF DUANE CHICKERING,490 ROUTE 63PO BOX 231,CHESTERFIELD,NH,03443,"http://maps.google.com/maps?q=490 ROUTE 63,+CHESTERFIELD,+NH+03443&hl=en"
CHITTENDEN COUNTY SHERIFF'S OFFICE,PRICE CHOPPER SUPERMARKET,595 SHELBURNE ROAD,BURLINGTON,VT,05401,"http://maps.google.com/maps?q=595 SHELBURNE ROAD,+BURLINGTON,+VT+05401&hl=en"
CITY OF PROVIDENCE,PROVIDENCE POLICE DEPARTMENT,325 WASHINGTON ST,PROVIDENCE,RI,02903,"http://maps.google.com/maps?q=325 WASHINGTON ST,+PROVIDENCE,+RI+02903&hl=en"
CITY OF PROVIDENCE,WALGREENS PHARMACY,1 POCASSET AVE,PROVIDENCE,RI,02909,"http://maps.google.com/maps?q=1 POCASSET AVE,+PROVIDENCE,+RI+02909&hl=en"
CITY OF PROVIDENCE,WALGREENS PHARMACY,533 ELMWOOD AVE,PROVIDENCE,RI,02907,"http://maps.google.com/maps?q=533 ELMWOOD AVE,+PROVIDENCE,+RI+02907&hl=en"
CLAREMONT POLICE DEPARTMENT,CVS PARKING LOT DRIVE UP AND DROP OFF SITE,1 WALL STREET,CLAREMONT,NH,03743,"http://maps.google.com/maps?q=1 WALL STREET,+CLAREMONT,+NH+03743&hl=en"
CLARKU,CLARK UNIVERSITY,950 MAIN STREETHIGGINS STUDENT CENTER,WORCESTER,MA,01610,"http://maps.google.com/maps?q=950 MAIN STREET,+WORCESTER,+MA+01610&hl=en"
COLCHESTER POLICE DEPARTNEBT,COLCHESTER POLICE DEPARTMENT CHIEF DOUGLAS ALLEN,835 BLAKELY ROAD,COLCHESTER,VT,05446,"http://maps.google.com/maps?q=835 BLAKELY ROAD,+COLCHESTER,+VT+05446&hl=en"
COLEBROOK POLICE DEPARTMENT,COLEBROOK TOWN HALL CHIEF STEPHEN R. CASS,17 BRIDGE STREET,COLEBROOK,NH,03576,"http://maps.google.com/maps?q=17 BRIDGE STREET,+COLEBROOK,+NH+03576&hl=en"
COLONIE POLICE DEPARTMENT,COLONIE POLICE DEPARTMENT COURT RM # 1,312 WOLF ROAD,LATHAM,NY,12110,"http://maps.google.com/maps?q=312 WOLF ROAD,+LATHAM,+NY+12110&hl=en"
COLUMBIA COUNTY SHERIFF'S OFFICE,COLUMBIA COUNTY SHERIFF'S OFFICE,85 INDUSTRIAL TRACT,HUDSON,NY,12534,"http://maps.google.com/maps?q=85 INDUSTRIAL TRACT,+HUDSON,+NY+12534&hl=en"
COLUMBIA COUNTY SHERIFF'S OFFICE,HILLSDALE SUB STATION,2684 STATE ROUTE 23,HILLSDALE,NY,12529,"http://maps.google.com/maps?q=2684 STATE ROUTE 23,+HILLSDALE,+NY+12529&hl=en"
CONCORD POLICE DEPARTMENT,CONCORD POLICE DEPARTMENT DET. MATTHEW LANKHORST,35 GREEN STREET,CONCORD,NH,03301,"http://maps.google.com/maps?q=35 GREEN STREET,+CONCORD,+NH+03301&hl=en"
