Participant,CollectionSite,Address,City,State,Zip,MapURL
ALTAVISTA POLICE DEPARTMENT,"YMCA 
												
													SPORTS CENTER",718 7TH ST,ALTAVISTA,VA,24517,"http://maps.google.com/maps?q=718 7TH ST,+ALTAVISTA,+VA+24517&hl=en"
AMELIA COUNTY SHERFF'S OFFICE,"AMELIA PHARMACY INC. 
												
													FRONT SIDEWALK BY STORE ENTRANCE",15412 PATRICK HENRY HWY.,AMELIA,VA,23002,"http://maps.google.com/maps?q=15412 PATRICK HENRY HWY.,+AMELIA,+VA+23002&hl=en"
AMELIA COUNTY SHERFF'S OFFICE,"RITE AID PHARMACY 
												
													FRONT SIDEWALK BY STORE ENTRANCE",15105 PATRICK HENRY HWY,AMELIA,VA,23002,"http://maps.google.com/maps?q=15105 PATRICK HENRY HWY,+AMELIA,+VA+23002&hl=en"
APPOMATTOX COUNTY SHERIFF'S OFFICE,KROGER,7851 RICHMOND HWY,APPOMATTOX,VA,24522,"http://maps.google.com/maps?q=7851 RICHMOND HWY,+APPOMATTOX,+VA+24522&hl=en"
ASHLAND POLICE DEPARTMENT,"ASHLAND POLICE DEPARTMENT 
												
													VISITOR PARKING LOT",601 ENGLAND STREET,ASHLAND,VA,23005,"http://maps.google.com/maps?q=601 ENGLAND STREET,+ASHLAND,+VA+23005&hl=en"
BISHOPVILLE POLICE DEPT,BISHOPVILLE CITY POLICE DEPT.,112 E. COUNCIL ST.,BISHOPVILLE,SC,29010,"http://maps.google.com/maps?q=112 E. COUNCIL ST.,+BISHOPVILLE,+SC+29010&hl=en"
BLACKSBURG POLICE DEPARTMENT,"BLACKSBURG RECREATION CENTER 
												
													PARKING LOT",725 PATRICK HENRY DRIVE,BLACKSBURG,VA,24060,"http://maps.google.com/maps?q=725 PATRICK HENRY DRIVE,+BLACKSBURG,+VA+24060&hl=en"
BOTETOURT COUNTY SHERIFF'S OFFICE,BOTETOURT PHYSICAL THERAPY,104 KINGSTON DRIVE,DALEVILLE,VA,24083,"http://maps.google.com/maps?q=104 KINGSTON DRIVE,+DALEVILLE,+VA+24083&hl=en"
BRUNSWICK COUNTY SHERIFF'S OFFICE,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,240 HOSPITAL DRIVE NE,BOLIVIA,NC,28422,"http://maps.google.com/maps?q=240 HOSPITAL DRIVE NE,+BOLIVIA,+NC+28422&hl=en"
BUENA VISTA POLICE DEPARTMENT,"CVS PHARMACY 
												
													EXTERIOR BREEZEWAY",2148 E. MIDLAND TRAIL,BUENA VISTA,VA,24416,"http://maps.google.com/maps?q=2148 E. MIDLAND TRAIL,+BUENA VISTA,+VA+24416&hl=en"
CAMDEN POLICE DEPARTMENT,CAMDEN POLICE DEPARTMENT,816 W. DEKALB ST.,CAMDEN,SC,29020,"http://maps.google.com/maps?q=816 W. DEKALB ST.,+CAMDEN,+SC+29020&hl=en"
CANNON PHARMACY,CANNON PHARMACY,1706 S CANNON BLVD,KANNAPOLIS,NC,28083,"http://maps.google.com/maps?q=1706 S CANNON BLVD,+KANNAPOLIS,+NC+28083&hl=en"
CANNON PHARMACY,CANNON PHARMACY,760 CABARRUS AVE W,CONCORD,NC,28025,"http://maps.google.com/maps?q=760 CABARRUS AVE W,+CONCORD,+NC+28025&hl=en"
CANNON PHARMACY,CONCORD PHARMACY AND SURGICAL SUPPLIES,3497 HWY 601 S.,CONCORD,NC,28025,"http://maps.google.com/maps?q=3497 HWY 601 S.,+CONCORD,+NC+28025&hl=en"
CANNON PHARMACY,HARRISBURG'S HOMETOWN PHARMACY,5006 NC HIGHWAY 49 S,HARRISBURG,NC,28075,"http://maps.google.com/maps?q=5006 NC HIGHWAY 49 S,+HARRISBURG,+NC+28075&hl=en"
CANNON PHARMACY,MOOSE DRUG COMPANY,8374 FRANKLIN ST. W.,MOUNT PLEASANT,NC,28124,"http://maps.google.com/maps?q=8374 FRANKLIN ST. W.,+MOUNT PLEASANT,+NC+28124&hl=en"
CANNON PHARMACY,MOOSE PROFESSIONAL PHARMACY,270 COPPERFIELD BLVD NE #101,CONCORD,NC,28025,"http://maps.google.com/maps?q=270 COPPERFIELD BLVD NE #101,+CONCORD,+NC+28025&hl=en"
CANNON PHARMACY,WEST CABARRUS YMCA,5325 LANGFORD AVE NW,CONCORD,NC,28027,"http://maps.google.com/maps?q=5325 LANGFORD AVE NW,+CONCORD,+NC+28027&hl=en"
CAROLINE COUNTY SHERIFF'S OFFICE,"CVS PHARMACY 
												
													PARKING LOT",18048 JEFFERSON DAVIS HIGHWAY,RUTHER GLEN,VA,22546,"http://maps.google.com/maps?q=18048 JEFFERSON DAVIS HIGHWAY,+RUTHER GLEN,+VA+22546&hl=en"
CARROLL COUNTY SHERIFF'S OFFICE,CVS PHARMACY - HILLSVILLE,915 WEST STUART DRIVE,HILLSVILLE,VA,24343,"http://maps.google.com/maps?q=915 WEST STUART DRIVE,+HILLSVILLE,+VA+24343&hl=en"
CHESAPEAKE POLICE DEPARTMENT,CHESAPEAKE POLICE 2ND PRECINCT,1209 20TH STREET,CHESAPEAKE,VA,23324,"http://maps.google.com/maps?q=1209 20TH STREET,+CHESAPEAKE,+VA+23324&hl=en"
CHESAPEAKE POLICE DEPARTMENT,CHESAPEAKE POLICE 3RD PRECINCT,949 N. GEORGE WASHINGTON HIGHWAY,CHESAPEAKE,VA,23323,"http://maps.google.com/maps?q=949 N. GEORGE WASHINGTON HIGHWAY,+CHESAPEAKE,+VA+23323&hl=en"
