Participant,CollectionSite,Address,City,State,Zip,MapURL
10TH JUDICIAL DRUG TASK FORCE,PIGGLY WIGGLY,125 FIVE POINT DRIVE,DUCKTOWN,TN,37326,"http://maps.google.com/maps?q=125 FIVE POINT DRIVE,+DUCKTOWN,+TN+37326&hl=en"
10TH JUDICIAL DRUG TASK FORCE,POLK CITY SHERIFF OFFICE,164 INDUSTRIAL ACCESS CIRCLE,BENTON,TN,37307,"http://maps.google.com/maps?q=164 INDUSTRIAL ACCESS CIRCLE,+BENTON,+TN+37307&hl=en"
10TH JUDICIAL DRUG TASK FORCE,WALMART,1815 DECATUR PIKE,ATHENS,TN,37303,"http://maps.google.com/maps?q=1815 DECATUR PIKE,+ATHENS,+TN+37303&hl=en"
10TH JUDICIAL DRUG TASK FORCE,WALMART,4225 HIGHWAY 411,MADISONVILLE,TN,37354,"http://maps.google.com/maps?q=4225 HIGHWAY 411,+MADISONVILLE,+TN+37354&hl=en"
19TH SECURITY FORCES SQUADRON,19TH SECURITY FORCES SQUADRON,481 CANNON DRIVE,LITTLE ROCK AIR FORCE BASE,AR,72099,"http://maps.google.com/maps?q=481 CANNON DRIVE,+LITTLE ROCK AIR FORCE BASE,+AR+72099&hl=en"
1ST JUDICIAL DISTRICT DRUG TASK FORCE,"1ST JUDICIAL DISTRICT DRUG TASK FORCE 
												
													PERMANENT DROP BOX",113 S. MAIN ST.,CLARENDON,AR,72029,"http://maps.google.com/maps?q=113 S. MAIN ST.,+CLARENDON,+AR+72029&hl=en"
20TH JUDICIAL DISCTICT DRUG CRIME TASK FORCE,"20TH JUDICIAL DRUG CRIME TASK FORCE 
												
													PERMANENT DROP BOX",P.O.BOX 550,CONWAY,AR,72033,"http://maps.google.com/maps?q=P.O.BOX 550,+CONWAY,+AR+72033&hl=en"
2ND JUDICIAL DISTRICT DRUG TASK FORCE,"2ND JUDICIAL DISTRICT DRUG TASK FORCE 
												
													PERMANENT DROP BOX",401 WEST KEISER,OSCEOLA,AR,72370,"http://maps.google.com/maps?q=401 WEST KEISER,+OSCEOLA,+AR+72370&hl=en"
5TH JUDICIAL DRUG TASK FORCE,BLOUNT COUNTY JUSTICE CENTER,940 EAST LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,"http://maps.google.com/maps?q=940 EAST LAMAR ALEXANDER PARKWAY,+MARYVILLE,+TN+37804&hl=en"
ADAIR COUNTY SHERIFF'S OFFICE,"ADAIR COUNTY SHERIFF'S OFFICE 
												
													TACO BELL (PICK UP IN PARKING LOT)",899 JAMES TOWN STREET,COLUMBIA,KY,42728,"http://maps.google.com/maps?q=899 JAMES TOWN STREET,+COLUMBIA,+KY+42728&hl=en"
