Participant,CollectionSite,Address,City,State,Zip,MapURL
15TH DRUG TASK FORCE,DANVILLE POLICE DEPARTMENT,1299 EAST 8TH STREET,DANVILLE,AR,72833,"http://maps.google.com/maps?q=1299 EAST 8TH STREET,+DANVILLE,+AR+72833&hl=en"
18TH WEST JUDICIAL DRUG TASK FORCE,"MONTGOMERY COUNTY SHERIFF'S OFFICE 
												
													PERMANENT DROP BOX",105 HWY 270 EAST#9,MOUNT IDA,AR,71957,"http://maps.google.com/maps?q=105 HWY 270 EAST,+MOUNT IDA,+AR+71957&hl=en"
18TH WEST JUDICIAL DRUG TASK FORCE,NORMAN FIRST BAPTIST CHURCH,205 GOLF COURSE ROAD,NORMAN,AR,71960,"http://maps.google.com/maps?q=205 GOLF COURSE ROAD,+NORMAN,+AR+71960&hl=en"
19TH SECURITY FORCES SQUADRON,19TH SECURITY FORCES SQUADRON,481 CANNON DRIVE,LITTLE ROCK AIR FORCE BASE,AR,72099,"http://maps.google.com/maps?q=481 CANNON DRIVE,+LITTLE ROCK AIR FORCE BASE,+AR+72099&hl=en"
20TH JUDICIAL DISCTICT DRUG CRIME TASK FORCE,"20TH JUDICIAL DRUG CRIME TASK FORCE 
												
													PERMANENT DROP BOX",P.O.BOX 550,CONWAY,AR,72033,"http://maps.google.com/maps?q=P.O.BOX 550,+CONWAY,+AR+72033&hl=en"
20TH JUDICIAL DISCTICT DRUG CRIME TASK FORCE,GOODE'S CASH SAVER FOOD STORE,129 BONE ST.,CLINTON,AR,72031,"http://maps.google.com/maps?q=129 BONE ST.,+CLINTON,+AR+72031&hl=en"
5TH DRUG TASK FORCE,"PARTY IN THE PARK 
												
													RIVER VALLEY ARTS CENTER",1001 EAST B STREET,RUSSELLVILLE,AR,72801,"http://maps.google.com/maps?q=1001 EAST B STREET,+RUSSELLVILLE,+AR+72801&hl=en"
ALLEN POLICE DEPARTMENT,ALLEN CITY HALL,305 CENTURY PARKWAY,ALLEN,TX,75013,"http://maps.google.com/maps?q=305 CENTURY PARKWAY,+ALLEN,+TX+75013&hl=en"
ALLEN POLICE DEPARTMENT,LOWERY FRESHMAN CENTER,601 E. MAIN ST,ALLEN,TX,75002,"http://maps.google.com/maps?q=601 E. MAIN ST,+ALLEN,+TX+75002&hl=en"
ALMA POLICE DEPARTMENT,"ALMA POLICE DEPARTMENT 
												
													PERMANENT DROP BOX",804 FAYETTEVILLE AVE,ALMA,AR,72921,"http://maps.google.com/maps?q=804 FAYETTEVILLE AVE,+ALMA,+AR+72921&hl=en"
ANDOVER POLICE DEPARTMENT,WALGREENS,440 N ANDOVER RD,ANDOVER,KS,67002,"http://maps.google.com/maps?q=440 N ANDOVER RD,+ANDOVER,+KS+67002&hl=en"
