Participant,CollectionSite,Address,City,State,Zip,MapURL
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,ALAMEDA COUNTY FAMILY JUSTICE CENTER,470 27TH STREET,OAKLAND,CA,94612,"http://maps.google.com/maps?q=470  27TH STREET,+OAKLAND,+CA+94612&hl=en"
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,ALAMEDA HALL OF JUSTICE,2233 SHORELINE DRIVE,ALAMEDA,CA,94501,"http://maps.google.com/maps?q=2233 SHORELINE DRIVE,+ALAMEDA,+CA+94501&hl=en"
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,EAST COUNTY HALL OF JUSTICE,5151 GLEASON DRIVE,DUBLIN,CA,94568,"http://maps.google.com/maps?q=5151 GLEASON DRIVE,+DUBLIN,+CA+94568&hl=en"
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,FREMONT HALL OF JUSTICE,39439 PASEO PADRE PARKWAY,FREMONT,CA,94538,"http://maps.google.com/maps?q=39439 PASEO PADRE PARKWAY,+FREMONT,+CA+94538&hl=en"
ALAMEDA COUNTY SHERIFF'S OFFICE,ALAMEDA COUNTY SHERIFF'S OFFICE EDEN TOWNSHIP SUBSTATION,15001 FOOTHILL BLVD,SAN LEANDRO,CA,94578,"http://maps.google.com/maps?q=15001 FOOTHILL BLVD,+SAN LEANDRO,+CA+94578&hl=en"
AMADOR COUNTY SHERIFF'S OFFICE,AMADOR COUNTY SHERIFF'S OFFICE,700 COURT STREET,JACKSON,CA,95642,"http://maps.google.com/maps?q=700 COURT STREET,+JACKSON,+CA+95642&hl=en"
ANTIOCH POLICE DEPARTMENT,ANTIOCH POLICE DEPARTMENT FRONT LOBBY,300 L ST,ANTIOCH,CA,94509,"http://maps.google.com/maps?q=300 L ST,+ANTIOCH,+CA+94509&hl=en"
AUBURN POLICE DEPARTMENT,AUBURN PUBLIC WORKS,1225 LINCOLN WAY,AUBURN,CA,95603,"http://maps.google.com/maps?q=1225 LINCOLN WAY,+AUBURN,+CA+95603&hl=en"
BAKERSFIELD POLICE DEPARTMENT,BAKERSFIELD POLICE DEPARTMENT,1601 TRUXTUN AVE,BAKERSFIELD,CA,93301,"http://maps.google.com/maps?q=1601 TRUXTUN AVE,+BAKERSFIELD,+CA+93301&hl=en"
BAKERSFIELD POLICE DEPARTMENT,BAKERSFIELD POLICE WEST COLLECTION SITE,3500 STOCKDALE HWY,BAKERSFIELD,CA,93309,"http://maps.google.com/maps?q=3500 STOCKDALE HWY,+BAKERSFIELD,+CA+93309&hl=en"
BENICIA POLICE DEPARTMENT,BENICIA POLICE DEPARTMENT,200 EAST L STREET,BENICIA,CA,94510,"http://maps.google.com/maps?q=200 EAST L STREET,+BENICIA,+CA+94510&hl=en"
BRENTWOOD POLICE DEPARTMENT,BRENTWOOD POLICE DEPARTMENT CSO MICHELE KEADY,9100 BRENTWOOD BLVD,BRENTWOOD,CA,94513,"http://maps.google.com/maps?q=9100 BRENTWOOD BLVD,+BRENTWOOD,+CA+94513&hl=en"
CA DEPT. OF PUBLIC HEALTH - FOOD & DRUG,VACAVILLE PUBLIC LIBRARY & CULTURAL CENTER,1020 ULATIS DRIVE,VACAVILLE,CA,95687,"http://maps.google.com/maps?q=1020 ULATIS DRIVE,+VACAVILLE,+CA+95687&hl=en"
CALAVERAS COUNTY SHERIFF'S OFFICE,CALAVERAS COUNTY SHERIFF'S OFFICE CALAVERAS COUNTY OFFICE OF EDUCATION,185 S. MAIN STREET,ANGELS CAMP,CA,95222,"http://maps.google.com/maps?q=185  S. MAIN STREET,+ANGELS CAMP,+CA+95222&hl=en"
CALAVERAS COUNTY SHERIFF'S OFFICE,CALAVERAS COUNTY SHERIFF'S OFFICE TOYON MIDDLE SCHOOL,3412 DOUBLE SPRINGS ROAD,VALLEY SPRINGS,CA,95252,"http://maps.google.com/maps?q=3412 DOUBLE SPRINGS ROAD,+VALLEY SPRINGS,+CA+95252&hl=en"
CALIFORNIA HIGHWAY PATROL- MONTEREY OFFICE,CALIFORNIA HIGHWAY PATROL MONTEREY OFFICE,960 E BLANCO RD,SALINAS,CA,93901,"http://maps.google.com/maps?q=960 E BLANCO RD,+SALINAS,+CA+93901&hl=en"
CARMEL POLICE DEPARTMENT,CARMEL POLICE DEPARTMENT,SE JUNIPERO AND FOURTH AVENUE,CARMEL,CA,93921,"http://maps.google.com/maps?q=SE JUNIPERO AND FOURTH AVENUE,+CARMEL,+CA+93921&hl=en"
CENTRAL MARIN POLICE AUTHORITY,CENTRAL MARIN POLICE AUTHORITY,250 DOHERTY DRIVE,LARKSPUR,CA,94939,"http://maps.google.com/maps?q=250 DOHERTY DRIVE,+LARKSPUR,+CA+94939&hl=en"
CENTRAL MARIN POLICE AUTHORITY,CENTRAL MARIN POLICE AUTHORITY SAN ANSELMO STATION,525 SAN ANSELMO AVENUE,SAN ANSELMO,CA,94960,"http://maps.google.com/maps?q=525 SAN ANSELMO AVENUE,+SAN ANSELMO,+CA+94960&hl=en"
CITRUS HEIGHTS POLICE DEPARTMENT,CITRUS HEIGHTS POLICE DEPARTMENT,6315 FOUNTAIN SQUARE DRIVE,CITRUS HEIGHTS,CA,95621,"http://maps.google.com/maps?q=6315 FOUNTAIN SQUARE DRIVE,+CITRUS HEIGHTS,+CA+95621&hl=en"
CITY OF OAKLEY POLICE DEPARTMENT,CITY OF OAKLEY POLICE DEPARTMENT,3231 MAIN STREET,OAKLEY,CA,94561,"http://maps.google.com/maps?q=3231 MAIN STREET,+OAKLEY,+CA+94561&hl=en"
CLOVERDALE POLICE DEPARTMENT,CLOVERDALE POLICE DEPARTMENT,112 BROAD STREET,CLOVERDALE,CA,95425,"http://maps.google.com/maps?q=112 BROAD STREET,+CLOVERDALE,+CA+95425&hl=en"
CLOVIS POLICE DEPARTMENT,CLOVIS POLICE DEPT,1233 5TH ST,CLOVIS,CA,93612,"http://maps.google.com/maps?q=1233 5TH ST,+CLOVIS,+CA+93612&hl=en"
COLLEGE OF MARIN POLICE DEPARTMENT,COLLEGE OF MARIN POLICE DEPARTMENT COMPD AT VILLAGE SQUARE 1,700 COLLEGE AVE,KENTFIELD,CA,94904,"http://maps.google.com/maps?q=700 COLLEGE AVE,+KENTFIELD,+CA+94904&hl=en"
CONTRA COSTA COUNTY SHERIFF'S OFFICE,BAY STATION / WEST COUNTY DETENTION FACILITY,5555 GIANT HWY,RICHMOND,CA,94806,"http://maps.google.com/maps?q=5555 GIANT HWY,+RICHMOND,+CA+94806&hl=en"
CONTRA COSTA COUNTY SHERIFF'S OFFICE,DANVILLE POLICE DEPARTMENT,510 LA GONDA WAY,DANVILLE,CA,94526,"http://maps.google.com/maps?q=510 LA GONDA WAY,+DANVILLE,+CA+94526&hl=en"
CONTRA COSTA COUNTY SHERIFF'S OFFICE,LAFAYETTE POLICE DEPARTMENT,3471 MOUNT DIABLO BLVD.,LAFAYETTE,CA,94549,"http://maps.google.com/maps?q=3471 MOUNT DIABLO BLVD.,+LAFAYETTE,+CA+94549&hl=en"
CONTRA COSTA COUNTY SHERIFF'S OFFICE,MUIR STATION / FOB,1980 MUIR RD.,MARTINEZ,CA,94553,"http://maps.google.com/maps?q=1980 MUIR RD.,+MARTINEZ,+CA+94553&hl=en"
