Participant,CollectionSite,Address,City,State,Zip,MapURL
10TH JUDICIAL DRUG TASK FORCE,PIGGLY WIGGLY,125 FIVE POINT DRIVE,DUCKTOWN,TN,37326,"http://maps.google.com/maps?q=125 FIVE POINT DRIVE,+DUCKTOWN,+TN+37326&hl=en"
10TH JUDICIAL DRUG TASK FORCE,POLK CITY SHERIFF OFFICE,164 INDUSTRIAL ACCESS CIRCLE,BENTON,TN,37307,"http://maps.google.com/maps?q=164 INDUSTRIAL ACCESS CIRCLE,+BENTON,+TN+37307&hl=en"
10TH JUDICIAL DRUG TASK FORCE,WALMART,1815 DECATUR PIKE,ATHENS,TN,37303,"http://maps.google.com/maps?q=1815 DECATUR PIKE,+ATHENS,+TN+37303&hl=en"
10TH JUDICIAL DRUG TASK FORCE,WALMART,4225 HIGHWAY 411,MADISONVILLE,TN,37354,"http://maps.google.com/maps?q=4225 HIGHWAY 411,+MADISONVILLE,+TN+37354&hl=en"
5TH JUDICIAL DRUG TASK FORCE,BLOUNT COUNTY JUSTICE CENTER,940 EAST LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,"http://maps.google.com/maps?q=940 EAST LAMAR ALEXANDER PARKWAY,+MARYVILLE,+TN+37804&hl=en"
ACWORTH POLICE DEPARTMENT,TARGET,3378 COBB PARKWAY,ACWORTH,GA,30101,"http://maps.google.com/maps?q=3378 COBB PARKWAY,+ACWORTH,+GA+30101&hl=en"
ACWORTH POLICE DEPARTMENT,WALGREENS,6090 LAKE ACWORTH DRIVE,ACWORTH,GA,30101,"http://maps.google.com/maps?q=6090 LAKE ACWORTH DRIVE,+ACWORTH,+GA+30101&hl=en"
AIKEN DEPARTMENT OF PUBLIC SAFETY,CLYBURN CENTER FOR PRIMARY CARE,1000 CLYBURN PLACE,AIKEN,SC,29801,"http://maps.google.com/maps?q=1000 CLYBURN PLACE,+AIKEN,+SC+29801&hl=en"
ALPHARETTA DEPARTMENT OF PUBLIC SAFETY,ALPHARETTA FIRE STATION 81,2970 WEBB BRIDGE ROAD,ALPHARETTA,GA,30009,"http://maps.google.com/maps?q=2970 WEBB BRIDGE ROAD,+ALPHARETTA,+GA+30009&hl=en"
ALPHARETTA DEPARTMENT OF PUBLIC SAFETY,ALPHARETTA FIRE STATION 82,3070 MARKET PLACE,ALPHARETTA,GA,30009,"http://maps.google.com/maps?q=3070 MARKET PLACE,+ALPHARETTA,+GA+30009&hl=en"
